0001_030	यह है मोटा राजा
0002_019	मोटे राजा का है दुबला कुत्ता
0003_019	मोटा राजा व दुबला कुत्ता घूमने निकले
0005_097	वह उसके पीछे भागा
0006_002	मोटा राजा दुबले कुत्ते के पीछे भागा
0008_019	और कई दिनों तक भागते रहे
0009_034	मोटे राजा ने दुबले कुत्ते को पकड़ ही लिया
0010_018	मोटा राजा अब दुबला है
0011_027	हिरण का बच्चा दौड़ रहा था
0012_035	खरगोश से आगे हाथी से भी आगे
0013_094	वह नाला कूद गया
0014_076	खंडहर पार कर गया
0015_034	मैदान में पत्थर पड़ा था
0016_027	ठोकर लगी तो गिर पड़ा
0018_026	बंदर ने पैर सहलाया
0020_026	भालू दादा ने गोद उठाया
0021_019	वह चुप न हुआ
0023_043	बोलीं लो पत्थर को मार दिया
0024_034	हिरण का बच्चा बोला
0025_043	इसे मत मारो वरना यह भी रोने लगेगा
0027_019	वह भी हँसने लगा
0028_027	नहाते समय मज़ा आता
0029_013	गीला बदन ठंडा लगता
0032_046	गरम दूध रखा कटोरी में
0033_046	हो गया ठंडा थोडी ही देर में
0040_063	बिजली चमकी बादल आए
0041_051	आया तूफ़ान धूल उड़ाए
0042_097	यह सब कैसे हुआ
0044_078	टहनी हिली पत्ते हिले
0045_030	देखते देखते फूल गिरे
0048_019	आंगन में जमकर खेल रहे थे
0049_012	लड्डू की खुशबू अचानक महके
0052_046	शीशे का प्याला था खिड़की पर
0053_076	चकनाचूर अब नीचे गिर कर
0054_013	मैंने तो यह नहीं किया
0055_001	बदमाश है यह हवा
0056_002	सीटी बजती है छुक् छुक् होती है
0057_038	दिखती नहीं रेल पर सुनाई देती है
0059_024	यह तो हवा और क्या
0062_030	पर काम करती रहती है
0063_026	यह तो है हवा
0065_078	अभी नहीं बेटा कल खा लेना
0066_068	लेकिन मैं कल तक रुकना नहीं चाहता
0067_024	मैंने अज्जा से पूछा क्या मैं अपने दोस्तों के साथ खेलने जाऊँ
0068_019	अभी नहीं बेटा पहले सो लो
0069_002	लेकिन मैं अभी सोना नहीं चाहता
0070_078	मैंने मम्मी से पूछा क्या मैं ये कपड़े पहन लूँ
0071_034	अभी नहीं बेटा कल पहन लेना
0073_060	मैंने पापा से पूछा क्या मैं उस सुंदर से डिब्बे को खोल लूँ
0074_039	अभी नहीं अभी नहीं तुम्हें थोड़ा रुकना पड़ेगा
0075_095	लेकिन मैं रुकना नहीं चाहता
0076_038	बड़े हमेशा क्यों कहते रहते हैं अभी नहीं अभी नहीं
0077_018	उस रात मैं ग़ुस्से में सो गया
0078_027	अगले दिन मैं जल्दी उठा और रसोई में गया
0080_013	अज्जा ने कहा अब हम क्रिकेट खेल सकते हैं
0081_033	मम्मी ने कहा अब तुम ये कपड़े पहन सकते हो
0082_027	पापा ने कहा तुम ये डिब्बा खोल सकते हो
0083_072	और उन सभी ने कहा जन्मदिन मुबारक हो
0084_063	आज मैं स्कूल नहीं जाऊँगी
0086_057	आज मैं टीवी नहीं देखूँगी
0087_026	वैसे भी बिजली नहीं है
0089_002	आज मैं अपने शरीर की आवाज़ सुनूँगी
0090_080	पहले मुझे चुप रहना है एकदम चुप
0091_058	ताकि मैं अपने शरीर को सुन सकूँ
0092_078	हाँ अब मैं अपनी साँस सुन सकती हूँ
0093_073	अन्दर बाहर अन्दर बाहर
0094_080	मैं अपनी साँसों की आवाज़ ऊँची कर सकती हूँ रसस
0095_078	और धीमी भी ममम
0096_043	और अब मैं अपने दिल की धड़कन सुन सकती हूँ
0098_078	क्या मैं अपने दिल को और तेज़ कर सकती हूँ
0099_080	और आवाज़ भी बढ़ा सकती हूँ
0100_002	हाँ अगर मैं बीस बार ऊपरनीचे कूदूँ
0101_076	देखा अब मेरे दिल की धड़कन तेज़ हो गई
0103_078	अगर मैं अपनी उंगलियाँ अपनी कलाई पर रखूँ तो मैं अपनी नब्ज़ सुन सकती हूँ
0104_013	मैं अपनी हँसी सुन सकती हूँ
0108_030	तप तपा तप तपा
0109_005	सबसे ज़्यादा मैं सुन सकती हूँ
0110_072	अपने पेट की गुड़गुड़ गुड़गुड़
0111_043	और पेट कह रहा है
0112_005	खाना दो खाना दो
0113_078	मेरी नाक सुन सकती है कि माँ रसोई में जलेबियाँ तल रही हैं
0114_060	शरीर की आवाज़ सुनने में मज़ा आता है
0115_047	अब मैं अपने जबड़ों को चबाते हुए सुनना चाहती हूँ
0116_087	और अपने पेट को माँ की स्वादिष्ट गरमगरम जलेबियाँ हड़पते
0121_072	चुप मेरी नाक कुछ कह रही है
0122_024	हम सब के पास एक अनोखा शरीर है
0123_072	पर क्या आपने कभी अपने शरीर की बात सुनी है
0124_024	एक सुबह किच्चू जल्दी उठा
0125_060	उसने जम्हाई लेते हुए कहा चल कर थोड़ी मछलियाँ पकड़ी जाएँ
0126_013	पोखर के रास्ते में उसे चोरु मिल गया
0127_033	वे पक्के दोस्त थे जो सारा दिन एक साथ खेलते रहते थे
0128_088	मुनिया ने उन्हें मछली पकड़ने की बंसीे ले कर जाते हुए देखा
0129_078	हम मछली पकड़ने पोखर जा रहें हैं
0130_027	अगर तुम चाहो तो साथ आ जाओ
0131_078	छोटी मुनिया ने कुछ देर सोचा
0132_060	ऐसा मत करो बिना पानी के मछलियाँ मर जाएँगी उसने कहा
0133_092	उन्होंने मुनिया की बात नहीं सुनी
0134_077	वे सीधे पोखर की ओर चल पड़े
0135_073	किच्चू और चोरु पोखर के किनारे बैठ गए
0136_003	दो मछलियाँ सामने से तैरती हुई निकल गयीं एक पतली और दूसरी गोल
0137_013	फिर तीसरी मछली आई
0138_046	आज तक उन्होंने इतनी बड़ी मछली नहीं देखी थी
0139_061	मुनिया ने हँसते हुए कहा यह तो अप्पा के पैरों से भी बड़ी है
0141_072	किच्चू चिल्लाया मेरी मछली
0142_047	चोरु भी चिल्लाया नहींमेरी मछली
0143_060	किच्चू ने ज़ोर से खींचा
0144_018	चोरु ने और ज़ोर से खींचा
0145_078	फट दोनों की बंसीे टूट गयीं
0146_076	धम्मकिच्चू ज़मीन पर गिर पड़ा
0149_048	आप क्या सोचते हैं
0150_033	मछलियों ने दोनों की रस्सियाँ बाँध दी थीं
0151_026	सुशीला तमिलनाडु में रहती है
0153_098	हर पोंगल पर उसे एक कोलम बनाने दिया जाता था
0154_024	बिल्कुल अपना खु़द का कोलम
0155_094	सुशीला को कोलम बनाने में बहुत मज़ा आता
0156_008	वह फ़र्श पर कोलम बनाती सीढ़ियों पर दीवारों पर
0157_043	बड़ी इमारतों पर रेलों पर भी
0159_087	सब को सुशीला के कोलम बहुत पसन्द आते
0160_003	एक दिन वायुसेना ने उस से कोलम बनाने में मदद माँगी
0161_069	सुशीला ने विमानचालकों को बताया कि उड़ान भरते हुए विमान कैसे गोता खाएँ
0162_013	कैसे गुलाटियाँ खाएँ और कैसे पलटें
0163_089	और मिनटों में आसमान में बड़ा और रंगबिरंगा कोलम दिखने लगा
0164_024	शहर भर के लोगों ने यह कमाल का कोलम देखा
0166_038	वहाँ उसे हज़ारों तारे टिमटिमाते दिखे
0167_003	क्या तुम बता सकते हो कि सुशीला अगला कोलम कहाँ बनाएगी
0169_069	लोग नए दिन का स्वागत करने के लिए अपने घर के बाहर कोलम बनाते हैं
0171_019	परम्परागत रूप से कोलम बनाने के लिए चावल के
0172_001	आटे का इस्तेमाल किया जाता है
0173_098	हमारे देश में सभी जगह फ़र्श और दीवारों पर चित्र बनाए जाते हैं
0175_019	चौक पूरना आदि कहा जाता है
0176_001	आपके इलाके में इन्हें क्या कहा जाता है
0180_013	खूब अकड़ कर चलते
0181_043	सब बच्चों पर हुक्म चलाते
0182_097	एक दिन गप्पू बोला मुझसे कुश्ती लड़ोगे
0185_048	दोनों ने ताल ठोंकी
0186_044	पहलवान ने गप्पू को दबोच लिया
0187_037	गप्पू ने उसके पेट में गुदगुदी लगायी
0190_097	गप्पू उसे नचाने लगा
0191_001	पहलवान की हालत खराब
0192_019	मैदान छोड़ भाग लिया
0193_080	अब बच्चे उससे नहीं डरते
0194_013	वह बच्चों से डरता है
0195_026	आज बसंत पंचमी हैं
0196_080	मेरे माता पिता केहेते है कि यह बसंत का पेहला दिन होता हैँ
0197_038	बसंत रितु सर्दी और गर्मी रितुवो के बीच मे आती हैँ
0198_047	संस्कृत मे इसे बसंत रितु केहेते है
0199_066	बसंत पंचमी के दिन भारत के कई प्रदेशो मे लोग ग्यान संगीत और
0200_038	काला क़ी देवी की पूजा करते है
0201_008	मेरे घर के पास वाले पेड़ पर बहुत सारी चिड़ियाँ बैठी हैँ
0202_072	मुझे लगता है कि वो मेरे लिये गा रहीं हैँ
0203_005	पेड़ की पतियां नई और चमकदार हैँ
0204_072	एकदम मेरी नई फ़्रोक जैसी
0205_033	अम्मा ने भी पीली सारी पेहनी है
0206_097	इतना प्यारा बसंती रंग और इतना प्यारा नाम
