q_0003_019_1	घूमने	1149_027
q_0006_002_1	दुबले	0009_034
q_0011_027_1	हिरण	0024_034
q_0016_027_1	ठोकर	1519_016
q_0018_026_1	बंदर	3125_060
q_0018_026_2	सहलाया	1306_029
q_0021_019_1	चुप	0090_080	0121_072	3121_051	3176_024
q_0025_043_1	मारो	1837_009	5689_051
q_0025_043_2	वरना	0874_005
q_0029_013_1	गीला	0234_069
q_0041_051_1	तूफ़ान	1155_029
q_0041_051_2	धूल	4871_092
q_0044_078_1	टहनी	0829_070
q_0044_078_2	पत्ते	1155_029
q_0045_030_1	गिरे	4117_089
q_0055_001_1	बदमाश	4653_046
q_0056_002_1	बजती	5836_047
q_0057_038_1	दिखती	2313_005
q_0067_024_1	खेलने	0306_027
q_0070_078_1	मम्मी	0081_033
q_0074_039_1	पड़ेगा	1587_016
q_0083_072_1	जन्मदिन	3966_079
q_0091_058_1	सकूँ	5745_037
q_0096_043_1	धड़कन	0101_076
q_0100_002_1	बीस	4883_057
q_0108_030_1	तप	1910_019
q_0113_078_1	जलेबियाँ	0116_087
q_0115_047_1	चबाते	1194_034
q_0115_047_2	सुनना	4201_066
q_0127_033_1	खेलते	2802_032
q_0128_088_1	पकड़ने	0129_078
q_0128_088_2	बंसीे	0145_078
q_0138_046_1	देखी	4183_019
q_0139_061_1	हँसते	3360_013
q_0150_033_1	बाँध	1213_080
q_0151_026_1	तमिलनाडु	0361_003
q_0160_003_1	माँगी	1752_002
q_0161_069_1	खाएँ	0162_013
q_0173_098_1	चित्र	4952_019
q_0181_043_1	चलाते	0520_014
q_0181_043_2	हुक्म	5049_050	5193_050	5700_024
q_0186_044_1	पहलवान	0191_001
q_0187_037_1	गुदगुदी	3367_093
q_0187_037_2	लगायी	4389_005
q_0191_001_1	खराब	5012_051
q_0195_026_1	पंचमी	0199_066
q_0196_080_1	केहेते	0198_047
q_0197_038_1	गर्मी	1410_032
q_0201_008_1	चिड़ियाँ	1956_001
q_0205_033_1	पीली	2400_033
q_0206_097_1	प्यारा	0224_076	2353_080	5311_005
q_0207_073_1	मै	0235_078
q_0211_061_1	नयी	0291_060
q_0213_089_1	गड्ढा	2116_035
q_0215_069_1	प्यारी	1091_018
q_0215_069_2	सब्र	5808_046
q_0217_076_1	टीनगु	0218_002
q_0220_098_1	पीले	0998_005
q_0220_098_2	सफ़ेद	0343_047
q_0227_003_1	लकड़ियों	1680_042
q_0230_072_1	चमकीला	4062_029
q_0230_072_2	नारंगी	1563_001
q_0237_001_1	पढ़	1639_065
q_0239_025_1	दिखाओ	2028_079
q_0241_006_1	कुर्सी	1327_089
q_0242_051_1	नीला	0342_030
q_0247_009_1	मनाते	0352_019
q_0249_027_1	गु़स्से	0259_026
q_0264_047_1	रोना	5682_076
q_0266_047_1	भूरा	0267_089
q_0269_076_1	मुस्कराने	3229_064
q_0270_079_1	नाराज़	0680_037
q_0275_078_1	मामा	0279_064
q_0275_078_2	मूँगफली	0277_072	0278_047	0279_064	1548_046
q_0278_047_1	नमकीन	3133_092
